tract,community_name,poverty_rate,home_value,home_change,total_crimes,crimes_per_1000,pop_12_17,pop_change,median_income,unemployment,assoc_degree_or_higher
611200,NEW CITY,35%,"$120,800",16%,269,105.7,"2,545",-25%,"$27,697",15%,3%
611100,NEW CITY,46%,"$109,000",8%,219,94.9,"2,307",-34%,"$24,972",22%,5%
611000,NEW CITY,46%,"$107,800",15%,165,179.7,918,-32%,"$20,813",19%,8%
540101,RIVERDALE,69%,"$84,200",9%,827,213.1,"3,881",-33%,"$12,660",38%,8%
530502,WEST PULLMAN,31%,"$141,800",21%,187,131.8,"1,419",-29%,"$41,696",24%,19%
530200,WEST PULLMAN,46%,"$116,100",14%,784,182.5,"4,296",-39%,"$29,539",30%,13%
520200,EAST SIDE,39%,"$104,500",-12%,251,70.3,"3,572",-17%,"$36,228",23%,8%
500300,PULLMAN,17%,"$141,100",15%,291,205.4,"1,417",-28%,"$41,587",16%,35%
500200,PULLMAN,31%,"$98,800",-16%,504,238.5,"2,113",-10%,"$34,038",29%,22%
500100,PULLMAN,23%,"$136,200",18%,418,135.6,"3,083",-33%,"$41,570",10%,23%
491400,ROSELAND,42%,"$96,800",-27%,711,220.7,"3,221",-15%,"$28,774",30%,14%
491300,ROSELAND,56%,"$85,300",-19%,551,223.5,"2,465",-36%,"$25,912",34%,13%
490901,ROSELAND,26%,"$147,500",14%,533,141.5,"3,768",-22%,"$39,750",26%,16%
470100,BURNSIDE,36%,"$122,100",12%,401,177.9,"2,254",-31%,"$24,821",22%,12%
460500,SOUTH CHICAGO,16%,"$143,300",2%,769,159.7,"4,816",-31%,"$37,168",13%,20%
460400,SOUTH CHICAGO,19%,"$175,800",35%,577,166.9,"3,458",-18%,"$39,151",13%,19%
460302,SOUTH CHICAGO,42%,"$113,400",-3%,575,165.8,"3,468",-23%,"$23,345",31%,15%
460301,SOUTH CHICAGO,28%,"$101,400",-13%,383,131.3,"2,917",-33%,"$36,182",18%,13%
460200,SOUTH CHICAGO,42%,"$139,700",30%,279,104.2,"2,678",-21%,"$27,925",17%,14%
460100,SOUTH CHICAGO,28%,"$99,600",-9%,535,170.8,"3,133",-34%,"$31,094",29%,19%
440201,CHATHAM,32%,"$161,000",-8%,893,185.8,"4,805",-16%,"$32,143",21%,21%
431302,SOUTH SHORE,35%,"$122,100",-7%,929,223.3,"4,161",-16%,"$19,756",26%,14%
431301,SOUTH SHORE,36%,"$116,600",-12%,786,236.8,"3,319",-31%,"$20,625",31%,18%
430900,SOUTH SHORE,39%,"$172,700",14%,204,150.4,"1,356",-28%,"$34,286",15%,25%
430600,SOUTH SHORE,28%,"$208,900",-16%,300,173.2,"1,732",-11%,"$23,300",15%,23%
430400,SOUTH SHORE,52%,"$149,100",9%,563,191.9,"2,934",-15%,"$15,469",20%,20%
430300,SOUTH SHORE,46%,"$123,500",-26%,471,197,"2,391",-18%,"$15,902",26%,20%
430200,SOUTH SHORE,37%,"$237,500",-29%,900,185,"4,866",-9%,"$22,419",16%,21%
430101,SOUTH SHORE,31%,"$273,300",43%,732,213.3,"3,431",-29%,"$32,292",21%,17%
420800,WOODLAWN,41%,"$220,600",22%,466,224.4,"2,077",-19%,"$35,476",13%,28%
420700,WOODLAWN,51%,"�$115,000",2%,750,229.4,"3,269",-27%,"$19,042",34%,17%
420600,WOODLAWN,66%,"$115,000",-15%,470,233,"2,017",-34%,"$19,801",27%,15%
420500,WOODLAWN,46%,"$199,400",37%,284,166.7,"1,704",-49%,"$25,781",28%,27%
400800,WASHINGTON PARK,56%,"$69,000",-44%,556,195.3,"2,847",-19%,"$20,959",14%,16%
400500,WASHINGTON PARK,55%,"$166,300",5%,391,196.9,"1,986",-21%,"$24,907",27%,16%
400400,WASHINGTON PARK,40%,"$106,300",-56%,368,195.1,"1,886",-1%,"$32,310",29%,18%
400300,WASHINGTON PARK,40%,"$188,200",34%,496,368.2,"1,347",-18%,"$29,417",23%,20%
390300,KENWOOD,40%,"$231,300",1%,357,126.1,"2,830",3%,"$21,769",21%,34%
381400,GRAND BOULEVARD,35%,"$168,800",-22%,369,222.3,"1,660",23%,"$38,167",14%,30%
380500,GRAND BOULEVARD,49%,N/A,N/A,68,85,800,-33%,"$19,358",29%,10%
380100,GRAND BOULEVARD,42%,"$243,800",57%,228,118,"1,932",42%,"$19,328",23%,23%
351500,DOUGLAS,31%,"$241,700",-69%,99,195.3,507,-77%,"$23,700",21%,27%
351400,DOUGLAS,61%,"$224,200",51%,318,164,"1,939",38%,"$13,149",41%,20%
351100,DOUGLAS,74%,N/A,N/A,179,85.2,"2,102",-56%,"$10,825",32%,15%
350100,DOUGLAS,30%,N/A,N/A,144,64.3,"2,239",-3%,"$43,548",8%,59%
340600,ARMOUR SQUARE,63%,N/A,N/A,268,269.3,995,-24%,"$11,622",45%,7%
301200,SOUTH LAWNDALE,35%,"$162,800",-7%,232,67.5,"3,435",-31%,"$26,076",14%,10%
292500,NORTH LAWNDALE,37%,"$159,000",22%,648,159.2,"4,070",-27%,"$40,324",20%,15%
292200,NORTH LAWNDALE,45%,"$163,700",19%,568,194.4,"2,922",-9%,"$31,902",27%,16%
291200,NORTH LAWNDALE,43%,"$144,700",-21%,610,229,"2,664",-13%,"$24,650",28%,12%
290900,NORTH LAWNDALE,49%,"$153,900",32%,964,236.5,"4,076",-12%,"$24,071",33%,7%
280900,NEAR WEST SIDE,47%,"$265,200",64%,176,173.6,"1,014",-18%,"$19,485",30%,22%
280400,NEAR WEST SIDE,52%,"$223,800",-2%,320,186.6,"1,715",18%,"$35,275",16%,24%
271800,EAST GARFIELD PARK,63%,"$156,300",45%,277,353.8,783,-36%,"$16,477",17%,8%
271300,EAST GARFIELD PARK,48%,"$170,800",39%,414,328.3,"1,261",2%,"$24,878",18%,13%
271200,EAST GARFIELD PARK,48%,"$113,900",-22%,428,352.6,"1,214",-8%,"$26,098",18%,11%
270500,EAST GARFIELD PARK,59%,"$183,100",-4%,651,385.2,"1,690",26%,"$16,103",23%,10%
260600,WEST GARFIELD PARK,52%,"$213,400",27%,538,270.5,"1,989",-41%,"$20,882",32%,3%
260200,WEST GARFIELD PARK,46%,"$193,800",67%,727,594.4,"1,223",-16%,"$33,750",20%,10%
251900,AUSTIN,47%,"$114,100",-31%,1081,222.3,"4,862",-35%,"$20,092",29%,14%
251800,AUSTIN,36%,"$176,900",11%,1265,239.8,"5,275",-17%,"$23,295",19%,9%
251500,AUSTIN,35%,"$166,000",7%,811,193.4,"4,194",-23%,"$21,567",24%,11%
251300,AUSTIN,29%,"$146,600",-1%,598,134.5,"4,446",-29%,"$29,255",21%,11%
231500,HUMBOLDT PARK,38%,"$166,800",27%,1963,293,"6,699",-12%,"$28,013",14%,8%
231200,HUMBOLDT PARK,39%,"$134,800",-5%,1724,280.9,"6,138",-18%,"$29,120",13%,12%
230600,HUMBOLDT PARK,38%,"$179,500",6%,1012,153.2,"6,606",-13%,"$34,716",21%,13%
