,geoid,Census Tract,Population 12-17,"Population, error",POP00,POP10,Organization Name,County,DSA Track: Distinct Track Number,Priority,List Current and/or Planned Projects,Reason for priority?,Median Income,Median Income Error,In Labor Force,Civilian Labor Force,Employed,unemployed,Not in Labor Force,% Change Pop,% Unemployment
10,14000US39009972800,"Census Tract 9728, Athens, OH",4461,343,4267,4500,Finance Fund,Athens,39009972800,65,4 projects funded through our CDFI.,There is a high likelihood of project completion.,27686,5150,1875,1875,1717,158,2161,4.546519803140379,8.426666666666668
11,14000US39009973400,"Census Tract 9734, Athens, OH",3243,299,3548,3347,APEG,Athens,39009973400,1,"None, for planned see priority explanation.",This location is on the main business corridor with east access to HWY 33 and Route 50.Several other parcels in this tract are at various stages of planning for development.,31206,4169,1295,1295,1136,159,1362,-8.596392333709133,12.277992277992277
12,14000US39009973400,"Census Tract 9734, Athens, OH",3243,299,3548,3347,Finance Fund,Athens,39009973400,23,2 projects funded through our CDFI.,There is a high likelihood of project completion.,31206,4169,1295,1295,1136,159,1362,-8.596392333709133,12.277992277992277
13,14000US39009973800,"Census Tract 9738, Athens, OH",4932,325,4643,4867,APEG,Athens,39009973800,3,"RXQ Compounding expansion ? $50,000 from SOACDF Grant ? 1.5 million committed from company ? 75 new Full Time jobs ? 17 retained Full Time jobs ? 2 million Jobs Ohio loan offer ? $100,000 Jobs Ohio workforce grant ""","This area contains much of the countys flat, develop-able land that is outside the floodplain. Significan infrastructure improvements are in process including sewer extention, and AEP upgrades.",46706,6569,2223,2223,1992,231,1993,6.224423863881111,10.39136302294197
14,14000US39009973902,"Census Tract 9739.02, Athens, OH",3336,401,3097,3494,Buckeye Hills Regional Council,Athens,39009973902,1,"This tract encompasses a key central business area in the City of Athens. This area has existing business activity and sufficient potential to warrant the Opportunity Zone designation based on our knowledge of existing projects and activities, as well as a general analysis of people and jobs per acre..",This is a key business area in our largest regional community and our region.,15000,6534,1815,1815,1651,164,1462,7.717145624798191,9.03581267217631
15,14000US39009973902,"Census Tract 9739.02, Athens, OH",3336,401,3097,3494,APEG,Athens,39009973902,4,"Athens Mold and Machine ""? 60 Full Time jobs created ? $3,005,084 Million asset investment ? Jobs Ohio revite grant $400,000 ? 629 grant $300,000 ? OU investment towards road work $750,000 ? 500,000 from ARC towarads Road work ? 100,000 from ODOT ? $250,000 City of Athens Investment towards road work """,This census tract contains a manufacturing park that is adjascent to Ohio University. Ease of access to HWY 33 .,15000,6534,1815,1815,1651,164,1462,7.717145624798191,9.03581267217631
16,14000US39013010802,"Census Tract 108.02, Belmont, OH",2157,215,2508,2323,Appalachian Partnership for Economic Growth,Belmont,39013010802,1,"""Bethesda completed street improvements in the amount of $40,000 along Pear Street with Federal funds. CT 107 Contiguous: This area in has shown economic growth at the Exit 208 area of Interstate 70 with the construction of a motel, gas stations in the previous few years. ODOT is in the process of planning a multi-million dollar safety project to improve traffic between the Pilot Truck and Automobile gas center and Interstate 70 ramps. Truck traffic as a result of the fueling station and gas/oil operations in the area has created heavy congestion. CT 109 Contiguous: Site of the East Ohio Industrial Park and the Joint Economic Development District 2. Barnesville has made application for $2M for Rails to Trails project to include bike/walking trails and Tunnel improvements through the Village of Barnesville (Federal/State/Local funds). CT 122 Contiguous: Currently completing a $19.5M Interstate 70 and State Route 331 interchange improvement project to support better traffic flow to Belmont College, Ohio University Eastern and various businesses located in this area. This area is the site of Fox Commerce Industrial Park. ""","Adjacent to major transportation corridors with I-70, I-77, I-79, Ohio River, rail along river. Transportation improvements made due to oil and gas industry investment; billions invested in county infrastructure.",43404,3558,1056,1056,1010,46,707,-13.995215311004786,4.356060606060606
17,14000US39013010802,"Census Tract 108.02, Belmont, OH",2157,215,2508,2323,Appalachian Partnership for Economic Growth,Belmont,39013010802,1,"""Bethesda completed street improvements in the amount of $40,000 along Pear Street with Federal funds. CT 107 Contiguous: This area in has shown economic growth at the Exit 208 area of Interstate 70 with the construction of a motel, gas stations in the previous few years. ODOT is in the process of planning a multi-million dollar safety project to improve traffic between the Pilot Truck and Automobile gas center and Interstate 70 ramps. Truck traffic as a result of the fueling station and gas/oil operations in the area has created heavy congestion. CT 109 Contiguous: Site of the East Ohio Industrial Park and the Joint Economic Development District 2. Barnesville has made application for $2M for Rails to Trails project to include bike/walking trails and Tunnel improvements through the Village of Barnesville (Federal/State/Local funds). CT 122 Contiguous: Currently completing a $19.5M Interstate 70 and State Route 331 interchange improvement project to support better traffic flow to Belmont College, Ohio University Eastern and various businesses located in this area. This area is the site of Fox Commerce Industrial Park. """,,43404,3558,1056,1056,1010,46,707,-13.995215311004786,4.356060606060606
18,14000US39013010802,"Census Tract 108.02, Belmont, OH",2157,215,2508,2323,Belmont County Port Authority,Belmont,39013010802,1,"Bethesda completed street improvements in the amount of $40,000 along Pear Street with Federal funds. CT 107 Contiguous: This area in has shown economic growth at the Exit 208 area of Interstate 70 with the construction of a motel, gas stations in the previous few years. ODOT is in the process of planning a multi-million dollar safety project to improve traffic between the Pilot Truck and Automobile gas center and Interstate 70 ramps. Truck traffic as a result of the fueling station and gas/oil operations in the area has created heavy congestion. CT 109 Contiguous: Site of the East Ohio Industrial Park and the Joint Economic Development District 2. Barnesville has made application for $2M for Rails to Trails project to include bike/walking trails and Tunnel improvements through the Village of Barnesville (Federal/State/Local funds). CT 122 Contiguous: Currently completing a $19.5M Interstate 70 and State Route 331 interchange improvement project to support better traffic flow to Belmont College, Ohio University Eastern and various businesses located in this area. This area is the site of Fox Commerce Industrial Park.","Available acreage for development. Adjacent to major transportation corridors with I-70, I-77, I-79, Ohio River, rail along river. Transportation improvements made due to oil and gas industry investment; billions invested in county infrastructure.",43404,3558,1056,1056,1010,46,707,-13.995215311004786,4.356060606060606
19,14000US39013011700,"Census Tract 117, Belmont, OH",1219,160,1703,1406,Appalachian Partnership for Economic Growth,Belmont,39013011700,2,"North Guernsey Street through Bellaire Industrial Park paved 2016 through ODOT, ODSA, County TID, and ARC grant funding. Projects: Completed the replacement of 27 fire hydrants in various locations throughout the Village with $50,000 in Federal funds. Completed catch basin, culvert and road resurfacing of 41st and Noble Streets at a cost of $200,000 in Federal funds. Village of Bellaire is planning for several million dollars in improvements for the water and combined sanitary/storm sewer system.","Adjacent to major transportation corridors with I-70, I-77, I-79, Ohio River, rail along river. Transportation improvements made due to oil and gas industry investment; billions invested in county infrastructure.",26750,8693,558,546,488,58,295,-28.420434527304757,10.622710622710622
20,14000US39013011700,"Census Tract 117, Belmont, OH",1219,160,1703,1406,Belmont County Port Authority,Belmont,39013011700,2,"North Guernsey Street through Bellaire Industrial Park paved 2016 through ODOT, ODSA, County TID, and ARC grant funding. Projects: Completed the replacement of 27 fire hydrants in various locations throughout the Village with $50,000 in Federal funds. Completed catch basin, culvert and road resurfacing of 41st and Noble Streets at a cost of $200,000 in Federal funds. Village of Bellaire is planning for several million dollars in improvements for the water and combined sanitary/storm sewer system.","Adjacent to major transportation corridors with I-70, I-77, I-79, Ohio River, rail along river. Transportation improvements made due to oil and gas industry investment; billions invested in county infrastructure.",26750,8693,558,546,488,58,295,-28.420434527304757,10.622710622710622
21,14000US39015951202,"Census Tract 9512.02, Brown, OH",4880,367,5001,5041,REDI Cincinnati,Brown,39015951202,2,Mt Orab -- Brown county has identified this census tract as a future development site.,Prioritization is based on the opportunity to create jobs within this tract.,52806,3926,2122,2122,1956,166,1611,-2.4195160967806437,7.822808671065033
22,14000US39015951300,"Census Tract 9513, Brown, OH",7567,349,6430,7777,REDI Cincinnati,Brown,39015951300,1,"In the past 5 years, 10 projects near the site have closed bringing in $26 MM in investment and 300 new jobs. The site is optimal for an automobile supplier and/or advanced manufacturing operation Mt. Orab is the manufacturing center of Brown County with half of manufacturing establishments and two of the three largest manufacturing employers being located in Mt. Orab. Blue Planet Renewable Energy got clearance to construct a 125-megawatt solar farm on 1,100 acres near the Mt. Orab Megasite.",Prioritization is based on the opportunity to create jobs within this tract.,46510,9782,3727,3727,3571,156,2196,17.682737169517885,4.185672122350416
23,14000US39017000300,"Census Tract 3, Butler, OH",3260,381,3962,3349,City of Hamilton,Butler,39017000300,4,"South Hamilton Crossing at grade bridge over railroad tracks: City - $15 million, Federal - $12 million, State - $3 million Proposed ARK Student Housing Project: City - $3 million, Private - $25 million Estimated total investment: $58,000,000",This Census tract contains nearly 60 acres of previously blighted neighborhoods that was acquired by the City for redevelopment. Considerable investment has been made by the City and State developing the transportation infrastructure in this area.,24708,6652,1618,1618,1282,336,849,-17.718324078748108,20.7663782447466
24,14000US39017000300,"Census Tract 3, Butler, OH",3260,381,3962,3349,REDI Cincinnati,Butler,39017000300,8,"South Hamilton Crossing at grade bridge over railroad tracks: City - $15 million, Federal - $12 million, State - $3 million Proposed ARK Student Housing Project: City - $3 million, Private - $25 million Estimated total investment: $58,000,000",This Census tract contains nearly 60 acres of previously blighted neighborhoods that was acquired by the City for redevelopment. Considerable investment has been made by the City and State developing the transportation infrastructure in this area.,24708,6652,1618,1618,1282,336,849,-17.718324078748108,20.7663782447466
25,14000US39017010906,"Census Tract 109.06, Butler, OH",7738,646,6754,7155,City of Fairfield,Butler,39017010906,2,"Over the past decade, this tract has received more than $30 million in private investment in new construction and renovations. More than $5 million in private investment is planned in business expansions in 2018. Fairfield City Schools invested more than $10 million in new facilities in the area within the past 3 years. The tract has also received more than $5 million in public infrastructure investment recently, primarily in road and waterline investments.","The tract includes portions of State Route 4, which is primed for redevelopment. This tract also includes the Butler County Regional Airport, which is an underdeveloped asset for future development.",51481,2567,4177,4177,3909,268,1874,14.569144210838022,6.416088101508259
26,14000US39017010909,"Census Tract 109.09, Butler, OH",5301,432,3755,4716,City of Fairfield,Butler,39017010909,1,"Over the past decade, more than $100 million of private investment has occurred in this area, primarily in manufacturing business expansions. These include expansions for Pacific Manufacturing, Alba, Western States Machine, and Koch Foods. Another $60 million is planned for the next 5 years with the development of a new industrial park along Seward Road. There has also been more than $10 million in public infrastructure investment in this area, primarily road widenings and sewer upgrades. Due to its proximity to quality workforce and interstate highways, the area is attractive to future development.","The remaining undeveloped acreage has significant development hurdles, primarily flood zones, that make development challenging without extra assistance.",45934,6234,3165,3145,2944,201,1107,41.17177097203729,6.391096979332274
27,14000US39017012200,"Census Tract 122, Butler, OH",3180,319,3895,3226,REDI Cincinnati,Butler,39017012200,4,The Middletown Regional Airport is located in this census tract. We have made a state capital request for assistance in funding the Middletown Regional Airport Aviation Workforce Training Center and have 50 developable acres submitted for SitesOhio. The City has also been the recipient of ODOT funding over the past 2 years that includes improvements such as paving and lighting. We have just started a new Airport Layout Plan that is funded thru the FAA. STM Wrenn is a brownfield site that we are trying to close out of the old Clean Ohio Program. We expect to have the CNS by June 2018. This will be a developable site that is a cornerstone for our downtown redevelopment strategy.,Prioritization is based on the opportunity to create jobs within this tract.,31229,6442,1549,1549,1281,268,1139,-18.35686777920411,17.301484828921883
28,14000US39017012200,"Census Tract 122, Butler, OH",3180,319,3895,3226,City of Middletown,Butler,39017012200,2,Airport and STM Wrenn The Middletown Regional Airport is located in this census tract. We have made a state capital request for assistance in funding the Middletown Regional Airport Aviation Workforce Training Center and have 50 developable acres submitted for SitesOhio. The City has also been the recipient of ODOT funding over the past 2 years that includes improvements such as paving and lighting. We have just started a new Airport Layout Plan that is funded thru the FAA. STM Wrenn is a brownfield site that we are trying to close out of the old Clean Ohio Program. We expect to have the CNS by June 2018. This will be a developable site that is a cornerstone for our downtown redevelopment strategy.,This tract has a lot of momentum already with the investments into the airport. We would like to capitalize on that.,31229,6442,1549,1549,1281,268,1139,-18.35686777920411,17.301484828921883
29,14000US39017014700,"Census Tract 147, Butler, OH",4125,308,4478,4202,City of Hamilton,Butler,39017014700,1,"Champion Mill Conference and Events Center Redevelopment: City - $26 million, Private - $123 million, State - $1.16 million Estimated total investment: $150.16 million","The City of Hamilton will invest over $26 million in new infrastructure, property acquisition, and remediation to the 55 acres for redevelopment. This project is expected to create nearly 300 jobs while retaining much of the historic integrity.",42292,8318,2150,2150,1942,208,1040,-7.8829834747655205,9.674418604651162
30,14000US39017014700,"Census Tract 147, Butler, OH",4125,308,4478,4202,REDI Cincinnati,Butler,39017014700,1,"Champion Mill Conference and Events Center Redevelopment: City - $26 million, Private - $123 million, State - $1.16 million Estimated total investment: $150.16 million","The City of Hamilton will invest over $26 million in new infrastructure, property acquisition, and remediation to the 55 acres for redevelopment. This project is expected to create nearly 300 jobs while retaining much of the historic integrity.",42292,8318,2150,2150,1942,208,1040,-7.8829834747655205,9.674418604651162
31,14000US39019720500,"Census Tract 7205, Carroll, OH",5256,270,5114,5397,Appalachian Partnership for Economic Growth,Carroll,39019720500,1,"Coal Auger Pro located in this tract is expanding due to a business increase and Seven Ranges Manufacturing is closing in on a major expansion opportunity. Both companies will be investing significant dollars. In addition, Carrollton School District is in the process of constructing a new school, $30 million investment, in the tract.",,51519,9466,2472,2472,2406,66,1893,2.7766914352757137,2.669902912621359
32,14000US39021010500,"Census Tract 105, Champaign, OH",4020,295,4185,4070,Champaign Economic Partnership Champaign County,Champaign,39021010500,1,"Tract 39021010500 (Tract 105) LIC This tract outlines the area of land in Urbana Twp that the City has discussed previously for annexation. We are in desperate need of newer housing. This property abuts the City Park and the newer developments (residential, retail, medical) in Urbana. It would involve new infrastructure with cross access to developed areas. Attributes: ? US Hwy 36 , US Hwy 68 , St. Rt. 29 all intersect within this Tract ? Interstate access via I70 and I75 within 30 mins or less ? Conveniently located between Dayton and Columbus ? Prime location for additional residential, commercial, retail businesses to locate ? Enterprise Zone Area already exists Investments/Growth to date: private/public in Tract 105 and contiguous tracts ? 2013-2017 - $92M+ ? 2018-2022 - $39M+ Future growth plans: ? Tract includes 100s of acres of vacant land to the east of the corporation limits ? Potential of annexation within the city corporations ? Opportunity for City utilities to be extended to new customers to accommodate growth Obstacles: ? Interest of developers ? Marketing ? Investor opportunities",Eligible LIC,39583,13269,2063,2063,1852,211,1330,-3.942652329749104,10.227823557925351
33,14000US39021010500,"Census Tract 105, Champaign, OH",4020,295,4185,4070,Dayton Development Coalition,Champaign,39021010500,25,2013-2017 - $92M+; 2018-2022 - $39M+,Tract includes 100s of acres of vacant land to the east of the corporation limits. Potential of annexation within the city corporations. Opportunity for City utilities to be extended to new customers to accommodate growth.,39583,13269,2063,2063,1852,211,1330,-3.942652329749104,10.227823557925351
34,14000US39023000200,"Census Tract 2, Clark, OH",1584,185,1865,1559,City of Springfield,Clark,39023000200,4,"Census Tract 2 is located to the immediate south of Springfield?s downtown core, and its arts and culture district. The South Fountain Historic Preservation district is located in the tract and provides a bounty of mixed income investment and opportunity along the historic streets anchored by Fountain Avenue. Housing opportunities, preservation and new construction, are plenty in the tract. The Rocking Horse Federally Qualified Health Clinic is located within census tract 2 bringing an anchor point to the otherwise residential area. Rocking Horse has seen significant federal, local, and private investment in the last decade, including FQHC support as well as capital construction funds nearing $6 M that has allowed the center to continue to provide affordable care to as many Springfield residents as possible. The tract is prime for residential reinvestment and provides opportunity for industrial redevelopment as well. It is located along the South Limestone Redevelopment Spine, and anchored there by the Rocking Horse FQHC. Commercial development opportunities are present ? building from the investment at the Career ConnectED Center at the DOME, immediately across the street in Census Tract 3.",The tract is located immediately south of the downtown. It is home to the Rocking Horse Federally Qualified Healthcare Center and has seen significant private investment in housing.,31705,5607,767,767,675,92,348,-15.067024128686327,11.994784876140809
35,14000US39023000300,"Census Tract 3, Clark, OH",1573,208,1982,1635,City of Springfield,Clark,39023000300,2,"Census Tract 3 is located immediately south of Springfield?s downtown core. The tract hosts the Career ConnectEd Center at the DOME, along with the Global Impact STEM Academy and a state of the art Makers Space. This century old school building was recently renovated to accommodate cutting edge education standards through the investment of over $23 M in state and private funding. To the immediate east of the DOME is new residential investment, with both single family and multifamily developments that have received over $3 M in federal and private funding. The tract holds significant opportunity for additional commercial and residential development. In addition, industrial redevelopment opportunities are present in the area. Located along South Limestone Street, and in the City?s South Limestone Redevelopment Spine, the area has seen funding from the State?s Straight A grant program, state capital funds, federal Neighborhood Stabilization Funds, HOME funds, and Community Housing Development Organization Investment.","The tract is located immediately south of the downtown, where significant investment has occurred and is underway. Tract 3 is home to the Career ConnectEd center and millions of dollars of public and private investment.",24875,3428,608,608,475,133,534,-20.63572149344097,21.875
36,14000US39023000300,"Census Tract 3, Clark, OH",1573,208,1982,1635,Dayton Development Coalition,Clark,39023000300,9,"Clark Census Tract 3 is located immediately south of Springfield?s downtown core. The tract hosts the Career ConnectEd Center at the DOME, along with the Global Impact STEM Academy and a state of the art Makers Space. This century old school building was recently renovated to accommodate cutting edge education standards through the investment of over $23 M in state and private funding. To the immediate east of the DOME is new residential investment, with both single family and multifamily developments that have received over $3 M in federal and private funding. The tract holds significant opportunity for additional commercial and residential development. In addition, industrial redevelopment opportunities are present in the area. Located along South Limestone Street, and in the City?s South Limestone Redevelopment Spine, the area has seen funding from the State?s Straight A grant program, state capital funds, federal Neighborhood Stabilization Funds, HOME funds, and Community Housing Development Organization Investment.",This is the second largest city in our region and is the link between the Dayton and Columbus markets.There is significant opportunity for growth because a company can draw from both market labor pools.,24875,3428,608,608,475,133,534,-20.63572149344097,21.875
37,14000US39023000901,"Census Tract 9.01, Clark, OH",2431,273,2896,2475,City of Springfield,Clark,39023000901,6,"Census Tract 9.01 is immediately south of the largest health care campus investment in the region. The northern boundary of the tract has seen significant reinvestment transitioning former contaminated industrial sites into new commercial retail facilities. Nearly $1 M of federal funding to address environmental site assessment has been invested in the area, with an additional $1 M plus of federal remedial action funds invested. In addition, state Clean Ohio dollars have been received to assist with cleanup and site preparation. Private and local investment in the area has exceeded $15 M with the redevelopment and construction of recreational and retail facilities, including the Chiller Family Ice Area and selective demolition and site preparation at the former Crowell Collier Publishing facility. The area is prime for commercial redevelopment as well as commercial and retail infill, as it borders the Springfield Regional Medical Center, the Ohio Valley Surgical Hospital, and other significant downtown office, retail, and commercial investments found in census tract 34.","The tract has significant investment opportunity. Located immediately south of the region's largest healthcare complex, redevelopment is prime. Millions of dollars of public and private investment has happened with new opportunity present.",20389,2494,1017,1017,742,275,708,-16.056629834254142,27.04031465093412
